timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 21:28:42.649, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.19 W, 31
2026/09/23 21:28:47.655, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.39 W, 31
2026/09/23 21:28:52.658, NVIDIA GeForce RTX 5090, 32607 MiB, 30312 MiB, 1876 MiB, 0 %, 13.24 W, 31
2026/09/23 21:28:57.667, NVIDIA GeForce RTX 5090, 32607 MiB, 30638 MiB, 1550 MiB, 97 %, 446.88 W, 59
2026/09/23 21:29:02.675, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 99 %, 455.55 W, 58
2026/09/23 21:29:07.678, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 99 %, 455.93 W, 54
2026/09/23 21:29:12.690, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 96 %, 450.19 W, 49
2026/09/23 21:29:17.700, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 100 %, 268.15 W, 38
2026/09/23 21:29:22.713, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 100 %, 248.25 W, 38
2026/09/23 21:29:27.724, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 99 %, 392.82 W, 45
2026/09/23 21:29:32.733, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 75 %, 243.04 W, 45
2026/09/23 21:29:37.744, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 99 %, 247.27 W, 45
2026/09/23 21:29:42.757, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 56.26 W, 36
2026/09/23 21:29:47.771, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 19.50 W, 36
2026/09/23 21:29:52.783, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 18.12 W, 36
2026/09/23 21:29:57.788, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 18.31 W, 36
2026/09/23 21:30:02.789, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 18.38 W, 35
2026/09/23 21:30:07.794, NVIDIA GeForce RTX 5090, 32607 MiB, 30766 MiB, 1422 MiB, 0 %, 17.96 W, 35
